Name,Value,,,,,,,,,,,,,,,
Schedule Name,PR_250823,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
Environment,Chamber 3 [1],,,,,,,,,,,,,,,
Machine Name,DESKTOP-73QI2H7,,,,,,,,,,,,,,,
Date/Time,09/26/2023 09:32:26,,,,,,,,,,,,,,,
Database,*DEFAULT,,,,,,,,,,,,,,,
Schedule Run ID,395,,,,,,,,,,,,,,,
Finalized,No,,,,,,,,,,,,,,,
Record Count,998,,,,,,,,,,,,,,,
Animal ID,397,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 19.11.21.0,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,3600,,,,,,,,,,,,,,,
Notes,26092301,,,,,,,,,,,,,,,
Schedule_Start_Time,2023-09-26T09:32:27.040,,,,,,,,,,,,,,,
User,DB,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Event_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
109.152,16,Variable Event,Rewards_per_step,,2,1,Value,1,,0,,0,,0,,0
109.152,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
109.571,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
109.886,38,Input Transition On Event,Tray #1,,2,0,,0,,0,,0,,0,,0
116.4,39,Input Transition Off Event,Tray #1,,2,0,,0,,0,,0,,0,,0
116.445,38,Input Transition On Event,Tray #1,,2,0,,0,,0,,0,,0,,0
116.595,39,Input Transition Off Event,Tray #1,,2,0,,0,,0,,0,,0,,0
116.67,38,Input Transition On Event,Tray #1,,2,0,,0,,0,,0,,0,,0
116.894,39,Input Transition Off Event,Tray #1,,2,0,,0,,0,,0,,0,,0
117.118,38,Input Transition On Event,Tray #1,,2,0,,0,,0,,0,,0,,0
117.298,39,Input Transition Off Event,Tray #1,,2,0,,0,,0,,0,,0,,0
117.328,38,Input Transition On Event,Tray #1,,2,0,,0,,0,,0,,0,,0
118.706,39,Input Transition Off Event,Tray #1,,2,0,,0,,0,,0,,0,,0
121.134,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
121.134,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
121.134,16,Variable Event,PR_count,,2,1,Value,1,,0,,0,,0,,0
121.134,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
121.223,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
121.403,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
121.403,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
121.403,16,Variable Event,PR_count,,2,1,Value,2,,0,,0,,0,,0
121.403,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
121.523,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
123.438,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
123.438,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
123.438,16,Variable Event,PR_count,,2,1,Value,3,,0,,0,,0,,0
123.438,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
123.513,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
123.588,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
123.588,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
123.588,16,Variable Event,PR_count,,2,1,Value,4,,0,,0,,0,,0
123.588,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
123.618,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
123.813,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
123.813,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
123.813,16,Variable Event,PR_count,,2,1,Value,5,,0,,0,,0,,0
123.813,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
124.023,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
124.083,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
124.083,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
124.083,16,Variable Event,PR_count,,2,1,Value,6,,0,,0,,0,,0
124.083,61,Group Maintain Event,Group Change,,2,1,New Group,2,,0,,0,,0,,0
124.217,39,Input Transition Off Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
124.382,38,Input Transition On Event,Nose_Poke #1,,2,0,,0,,0,,0,,0,,0
124.382,1,Condition Event,PR Count,,2,0,,0,,0,,0,,0,,0
