"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off"
"406","0.194",,"0.269"
"407","0.405",,"19.437"
"408","19.003",,"0.509"
"409","0.930",,"0.449"
"410","0.493",,"274.739"
"411","274.663",,"0.210"
"412","0.389",,"0.210"
"413","0.089",,"31.783"
"414","31.770",,"0.330"
"415","0.449",,"2.143"
"416","1.873",,"0.119"
"417","0.344",,"23.181"
"418","23.197",,"0.195"
"419","0.135",,"12.092"
"420","11.282",,"0.463"
"421","1.304",,"0.149"
"422","0.178",,"13.152"
"423","12.285",,"0.628"
"424","1.092",,"0.179"
"425","0.492",,"0.300"
"426","0.375",,"13.315"
"427","12.552",,"0.164"
"428","0.884",,"0.434"
"429","0.210",,"0.164"
"430","0.432",,"23.173"
"431","23.040",,"14.554"
"432","14.060",,"1.572"
"433","2.126",,"0.420"
"434","0.433",,"11.178"
"435","10.445",,"0.118"
"436","0.929",,"0.479"
"437","0.388",,"11.182"
"438","10.282",,"0.119"
"439","1.139",,"0.269"
"440","0.120",,"0.315"
"441","0.329",,"0.599"
"442","0.179",,"0.300"
"443","0.644",,"0.253"
"444","0.374",,"12.601"
"445","11.551",,"0.344"
"446","1.274",,"0.254"
"447","0.329",,"0.269"
"448","0.193",,"0.300"
"449","0.300",,"0.255"
"450","0.375",,"0.179"
"451","0.269",,"10.057"
"452","9.817",,"0.344"
"453","0.434",,"0.494"
"454","0.346",,"0.059"
"455","0.358",,"0.180"
"456","0.045",,"0.432"
"457","0.239",,"0.405"
"458","0.449",,"15.534"
"459","15.188",,"0.432"
"460","0.794",,"0.179"
"461","0.313",,"0.420"
"462","0.269",,"0.269"
"463","0.360",,"0.179"
"464","0.284",,"0.331"
"465","0.225",,"0.195"
"466","0.328",,"0.238"
"467","0.210",,"0.449"
"468","0.344",,"12.914"
"469","12.585",,"0.960"
"470","0.614",,"0.569"
"471","0.929",,"0.329"
"472","0.570",,"0.210"
"473","0.344",,"0.391"
"474","0.346",,"0.328"
"475","0.373",,"0.345"
"476","0.434",,"0.434"
"477","0.406",,"0.150"
"478","0.224",,"13.219"
"479","12.408",,"1.108"
"480","0.960",,"0.344"
"481","0.224",,"0.315"
"482","0.778",,"0.300"
"483","0.389",,"0.286"
"484","0.329",,"0.238"
"485","0.316",,"0.254"
"486","0.300",,"0.298"
"487","0.268",,"14.810"
"488","0.313",,"0.915"
"489","14.347",,"0.612"
"490","0.701",,"0.434"
"491","0.811",,"0.300"
"492","0.628",,"0.239"
"493","0.464",,"0.345"
"494","0.269",,"0.344"
"495","0.420",,"11.286"
"496","0.315",,"1.376"
"497","10.822",,"13.705"
"498","0.734",,"0.327"
"499","13.971",,"1.094"
"500","1.079",,"0.269"
"501","0.329",,"0.374"
"502","1.034",,"0.329"
"503","0.329",,"0.179"
"504","0.418",,"0.240"
"505","0.240",,"17.509"
"506","0.239",,"0.195"
"507","16.146",,"0.195"
"508","1.512",,"0.224"
"509","0.240",,"0.210"
"510","0.195",,"0.358"
"511","0.299",,"0.255"
"512","0.271",,"0.074"
"513","0.255",,"10.961"
"514","0.209",,"0.375"
"515","10.570",,"0.148"
"516","0.525",,"0.224"
"517","0.327",,"0.811"
"518","0.136",,"0.644"
"519","0.238",,"0.239"
"520","0.796",,"0.300"
"521","0.659",,"0.373"
"522","0.210",,"0.420"
"523","0.464",,"0.360"
"524","0.419",,"14.122"
"525","0.389",,"0.359"
"526","13.643",,"0.434"
"527","0.778",,"0.360"
"528","0.239",,"0.269"
"529","0.434",,"0.344"
"530","0.346",,"0.210"
"531","0.360",,"0.195"
"532","0.344",,"0.164"
"533","0.179",,"0.434"
"534","0.151",,"9.757"
"535","0.434",,"0.748"
"536","9.770",,"0.419"
"537","0.150",,"0.298"
"538","0.824",,"0.824"
"539","0.373",,"0.179"
"540","0.463",,"9.027"
"541","0.748",,"0.389"
"542","9.013",,"0.584"
"543","0.103",,"0.299"
"544","0.403",,"0.195"
"545","0.675",,"0.346"
"546","0.149",,"0.269"
"547","0.225",,"0.119"
"548","0.360",,"0.165"
"549","0.313",,"0.285"
"550","0.090",,"11.524"
"551","0.271",,"0.389"
"552","10.971",,"0.148"
"553","0.702",,"0.449"
"554","0.433",,"0.885"
"555","0.135",,"0.224"
"556","0.433",,"0.360"
"557","0.900",,"0.329"
"558","0.255",,"0.344"
"559","0.375",,"22.116"
"560","0.344",,"0.240"
"561","22.056",,"0.300"
"562","0.300",,"9.052"
"563","0.374",,"0.433"
"564","8.528",,"0.300"
"565","1.063",,"454.270"
"566","0.179",,"1.199"
"567","454.241",,"0.344"
"568","0.344",,"27.907"
"569","1.244",,"0.193"
"570","27.456",,"0.210"
"571","0.644",,"18.121"
"572","0.284",,"0.119"
"573","17.896",,"0.420"
"574","0.344",,"18.057"
"575","0.405",,"0.538"
"576","17.772",,"0.210"
"577","0.794",,"0.389"
"578","0.284",,"0.166"
"579","0.360",,"17.114"
"580","0.179",,"0.149"
"581","16.590",,"0.315"
"582","0.585",,"0.478"
"583","0.373",,"0.646"
"584","0.510",,"12.487"
"585","0.478",,"0.315"
"586","11.874",,"0.598"
"587","1.019",,"0.660"
"588","0.643",,"0.298"
"589","0.659",,"10.578"
"590","0.360",,"0.675"
"591","9.904",,"0.208"
"592","1.259",,
"593","0.179",,
